iter	Passed	Remaining
402	6795	10066
403	6805	10040
404	6817	10015
405	6832	9995
406	6844	9972
407	6856	9948
408	6870	9928
409	6882	9904
410	6893	9879
411	6904	9854
412	6915	9829
413	6926	9804
414	6937	9779
415	6948	9755
416	6959	9730
417	6971	9706
418	6982	9682
419	6993	9657
420	7004	9632
421	7015	9609
422	7026	9585
423	7037	9560
424	7049	9537
425	7063	9517
426	7081	9503
427	7093	9479
428	7105	9457
429	7116	9433
430	7127	9410
431	7138	9385
432	7149	9361
433	7160	9338
434	7170	9313
435	7182	9290
436	7193	9266
437	7204	9243
438	7215	9220
439	7225	9196
440	7236	9173
441	7248	9151
442	7262	9130
443	7277	9112
444	7290	9093
445	7305	9074
446	7319	9055
447	7333	9035
448	7347	9016
449	7361	8997
450	7375	8977
451	7388	8957
452	7400	8936
453	7414	8917
454	7427	8897
455	7441	8877
456	7454	8856
457	7469	8839
458	7483	8820
459	7497	8801
460	7511	8782
461	7525	8763
462	7539	8743
463	7554	8726
464	7568	8707
465	7581	8688
466	7594	8667
467	7607	8647
468	7619	8626
469	7631	8606
470	7644	8585
471	7656	8565
472	7670	8545
473	7683	8526
474	7696	8506
475	7710	8487
476	7721	8466
477	7734	8446
478	7746	8425
479	7758	8405
480	7771	8385
481	7783	8365
482	7795	8344
483	7808	8324
484	7820	8303
485	7832	8283
486	7844	8263
487	7857	8243
488	7870	8224
489	7883	8204
490	7896	8185
491	7909	8166
492	7921	8146
493	7934	8126
494	7946	8106
495	7959	8087
496	7971	8067
497	7983	8047
498	7995	8027
499	8008	8008
500	8021	7989
501	8033	7969
502	8045	7950
503	8059	7931
504	8071	7912
505	8084	7892
506	8096	7872
507	8109	7853
508	8121	7834
509	8134	7815
510	8148	7797
511	8167	7784
512	8180	7765
513	8192	7746
514	8204	7726
515	8216	7706
516	8228	7687
517	8240	7668
518	8253	7648
519	8265	7629
520	8279	7611
521	8291	7593
522	8303	7573
523	8315	7553
524	8326	7533
525	8338	7514
526	8350	7494
527	8361	7474
528	8372	7454
529	8383	7434
530	8395	7415
531	8406	7395
532	8418	7375
533	8429	7355
534	8441	7337
535	8453	7318
536	8465	7298
537	8477	7279
538	8488	7260
539	8499	7240
540	8511	7221
541	8522	7201
542	8533	7182
543	8546	7163
544	8557	7144
545	8569	7125
546	8579	7105
547	8592	7087
548	8607	7071
549	8619	7052
550	8631	7033
551	8642	7013
552	8653	6994
553	8664	6975
554	8675	6956
555	8686	6936
556	8697	6917
557	8707	6897
558	8719	6878
559	8729	6858
560	8740	6839
561	8751	6820
562	8762	6801
563	8773	6782
564	8784	6763
565	8796	6744
566	8806	6725
567	8817	6706
568	8829	6687
569	8840	6669
570	8851	6650
571	8863	6632
572	8875	6614
573	8886	6595
574	8897	6576
575	8908	6557
576	8919	6538
577	8930	6520
578	8941	6501
579	8952	6482
580	8963	6464
581	8975	6446
582	8986	6427
583	8997	6408
584	9008	6390
585	9020	6372
586	9031	6354
587	9042	6335
588	9053	6317
589	9064	6299
590	9076	6281
591	9087	6263
592	9098	6244
593	9109	6226
594	9121	6208
595	9132	6190
596	9145	6173
597	9160	6157
598	9173	6141
599	9187	6124
600	9204	6110
601	9226	6099
602	9238	6082
603	9250	6065
604	9263	6048
605	9276	6031
606	9288	6013
607	9300	5996
608	9310	5977
609	9321	5959
610	9332	5941
611	9344	5924
612	9355	5906
613	9366	5888
614	9377	5870
615	9388	5852
616	9399	5834
617	9411	5817
618	9428	5803
619	9439	5785
620	9451	5768
621	9463	5750
622	9474	5733
623	9486	5716
624	9498	5698
625	9509	5681
626	9523	5665
627	9535	5648
628	9546	5630
629	9557	5613
630	9568	5595
631	9578	5577
632	9588	5559
633	9599	5541
634	9610	5524
635	9620	5506
636	9631	5488
637	9642	5471
638	9653	5453
639	9664	5436
640	9675	5418
641	9686	5401
642	9697	5384
643	9708	5366
644	9719	5349
645	9730	5331
646	9741	5314
647	9751	5296
648	9762	5279
649	9772	5262
650	9783	5244
651	9794	5227
652	9805	5210
653	9816	5193
654	9826	5175
655	9837	5158
656	9848	5141
657	9859	5124
658	9869	5107
659	9880	5089
660	9891	5072
661	9902	5055
662	9913	5038
663	9923	5021
664	9934	5004
665	9946	4988
666	9957	4971
667	9969	4955
668	9981	4938
669	9992	4921
670	10003	4904
671	10014	4888
672	10025	4871
673	10036	4854
674	10047	4837
675	10059	4821
676	10070	4804
677	10080	4787
678	10091	4770
679	10102	4754
680	10112	4737
681	10124	4720
682	10135	4704
683	10146	4687
684	10157	4670
685	10168	4654
686	10179	4637
687	10189	4620
688	10201	4604
689	10212	4588
690	10224	4571
691	10235	4555
692	10245	4538
693	10256	4522
694	10267	4506
695	10289	4494
696	10303	4479
697	10314	4462
698	10326	4446
699	10338	4430
700	10348	4414
701	10359	4397
702	10370	4381
703	10381	4364
704	10392	4348
705	10403	4332
706	10414	4316
707	10425	4299
708	10436	4283
709	10448	4267
710	10459	4251
711	10470	4235
712	10481	4219
713	10492	4202
714	10503	4186
715	10514	4170
716	10525	4154
717	10536	4138
718	10546	4121
719	10558	4105
720	10569	4089
721	10580	4073
722	10591	4057
723	10605	4042
724	10616	4026
725	10627	4011
726	10639	3995
727	10649	3979
728	10660	3962
729	10672	3947
730	10686	3932
731	10700	3917
732	10714	3902
733	10728	3887
734	10745	3874
735	10763	3860
736	10783	3847
737	10804	3835
738	10827	3823
739	10851	3812
740	10877	3801
741	10893	3787
742	10913	3775
743	10931	3761
744	10948	3747
745	10964	3733
746	10980	3719
747	10996	3704
748	11012	3690
749	11029	3676
750	11046	3662
751	11063	3648
752	11077	3633
753	11096	3620
754	11114	3606
755	11129	3592
756	11149	3579
757	11166	3565
758	11184	3551
759	11202	3537
760	11216	3522
761	11229	3507
762	11248	3493
763	11264	3479
764	11280	3465
765	11298	3451
766	11315	3437
767	11333	3423
768	11349	3409
769	11363	3394
770	11377	3379
771	11394	3365
772	11408	3350
773	11423	3335
774	11444	3322
775	11471	3311
776	11488	3297
777	11505	3283
778	11524	3269
779	11540	3254
780	11553	3239
781	11567	3224
782	11585	3210
783	11601	3196
784	11616	3181
785	11630	3166
786	11647	3152
787	11671	3139
788	11685	3124
789	11699	3109
790	11713	3094
791	11733	3081
792	11753	3068
793	11769	3053
794	11785	3038
795	11800	3024
796	11815	3009
797	11831	2994
798	11846	2980
799	11862	2965
800	11882	2952
801	11899	2937
802	11914	2923
803	11937	2910
804	11952	2895
805	11971	2881
806	11988	2867
807	12003	2852
808	12021	2838
809	12038	2823
810	12054	2809
811	12070	2794
812	12084	2779
813	12098	2764
814	12114	2749
815	12130	2735
816	12148	2721
817	12165	2706
818	12180	2691
819	12197	2677
820	12217	2663
821	12236	2649
822	12254	2635
823	12277	2622
824	12293	2607
825	12307	2592
826	12328	2578
827	12343	2564
828	12360	2549
829	12374	2534
830	12388	2519
831	12403	2504
832	12424	2490
833	12438	2475
834	12452	2460
835	12467	2445
836	12488	2431
837	12506	2417
838	12523	2403
839	12542	2388
840	12561	2374
841	12586	2361
842	12606	2347
843	12628	2334
844	12647	2319
845	12667	2305
846	12690	2292
847	12713	2278
848	12736	2265
849	12758	2251
850	12780	2237
851	12798	2223
852	12816	2208
853	12835	2194
854	12860	2180
855	12882	2167
856	12906	2153
857	12925	2139
858	12940	2124
859	12959	2109
860	12978	2095
861	12992	2079
862	13006	2064
863	13025	2050
864	13041	2035
865	13058	2020
866	13074	2005
867	13104	1992
868	13129	1979
869	13160	1966
870	13183	1952
871	13204	1938
872	13226	1924
873	13249	1910
874	13274	1896
875	13298	1882
876	13329	1869
877	13354	1855
878	13378	1841
879	13400	1827
880	13426	1813
881	13447	1799
882	13463	1783
883	13478	1768
884	13494	1753
885	13510	1738
886	13528	1723
887	13554	1709
888	13574	1694
889	13590	1679
890	13603	1664
891	13618	1648
892	13632	1633
893	13646	1618
894	13661	1602
895	13674	1587
896	13687	1571
897	13700	1556
898	13713	1540
899	13727	1525
900	13741	1509
901	13754	1494
902	13770	1479
903	13782	1463
904	13795	1448
905	13809	1432
906	13826	1417
907	13841	1402
908	13858	1387
909	13874	1372
910	13891	1357
911	13905	1341
912	13921	1326
913	13936	1311
914	13949	1295
915	13961	1280
916	13972	1264
917	13983	1249
918	13995	1233
919	14007	1218
920	14018	1202
921	14030	1186
922	14041	1171
923	14052	1155
924	14063	1140
925	14075	1124
926	14086	1109
927	14097	1093
928	14109	1078
929	14120	1062
930	14131	1047
931	14142	1031
932	14153	1016
933	14165	1000
934	14177	985
935	14188	970
936	14200	954
937	14212	939
938	14226	924
939	14237	908
940	14248	893
941	14258	877
942	14269	862
943	14281	847
944	14291	831
945	14302	816
946	14312	801
947	14324	785
948	14335	770
949	14346	755
950	14357	739
951	14368	724
952	14378	709
953	14389	693
954	14400	678
955	14411	663
956	14422	648
957	14432	632
958	14443	617
959	14454	602
960	14465	587
961	14476	571
962	14486	556
963	14497	541
964	14508	526
965	14519	511
966	14529	495
967	14556	481
968	14572	466
969	14584	451
970	14595	435
971	14607	420
972	14619	405
973	14632	390
974	14643	375
975	14653	360
976	14664	345
977	14675	330
978	14686	315
979	14696	299
980	14707	284
981	14718	269
982	14728	254
983	14739	239
984	14749	224
985	14761	209
986	14772	194
987	14782	179
988	14794	164
989	14805	149
990	14816	134
991	14827	119
992	14837	104
993	14849	89
994	14859	74
995	14870	59
996	14881	44
997	14893	29
998	14904	14
999	14914	0
